State_Name ,Name                                                                                       ,Address                                 ,Contact
California ,Malibu Detox and Residential Treatment Center                                              ,"22766 Saddle Peak Road
                                                                                                        Topanga, CA 90290"                      ,424-234-2027
California ,Restore Detox Centers                                                                      ,"14099 Sky Mountain Trail
                                                                                                        Poway, CA 92064"                        ,858-293-1972
California ,Dignity Health Northridge Hospital Medical Center Behavioral Health Services               ,"18300 Roscoe Boulevard
                                                                                                        Northridge, CA 91335"                   ,855-398-9127
California ,Essential Behavioral Health                                                                ,"8950 Cal Center Dr #165
                                                                                                        Sacramento, CA 95826"                   ,530-564-3786
California ,Hazelden Betty Ford | Rancho Mirage                                                        ,"39407 Vista Del Sol
                                                                                                        Rancho Mirage, CA 92270"                ,877-502-3218
California ,VA San Diego Healthcare System Sorrento Valley CBOC                                        ,"10455 Sorrento Valley Road
                                                                                                        San Diego, CA 92121"                    ,858-552-7475
California ,California Highlands Addiction Treatment                                                   ,"15986 Highland Springs Avenue
                                                                                                        Banning, CA 92220"                      ,951-402-2075
California ,Soledad House                                                                              ,"810 Emerald Street
                                                                                                        San Diego, CA 92109"                    ,866-314-3181
California ,Laguna Treatment Hospital Alcohol and Drug Rehab                                           ,"24552 Pacific Park Drive
                                                                                                        Aliso Viejo, CA 92656"                  ,949-894-4966
California ,Dedicato Treatment Center Outpatient                                                       ,"133 North Altadena Drive Suite 430
                                                                                                        Pasadena, CA 91107"                     ,626-921-0113
California ,Hotel California by the Sea                                                                ,"2811 Villa Way
                                                                                                        Newport Beach, CA 92663"                ,949-203-5654
California ,Kaiser Permanente Union City Medical Offices                                               ,"3551 Whipple Road
                                                                                                        Union City, CA 94587"                   ,510-675-4010
California ,Cornerstone of Southern California                                                         ,"1950 17th Street Suite 150
                                                                                                        Santa Ana, CA 92706"                    ,714-547-5375
California ,Diablo Valley Drug and Alcohol Services                                                    ,"100 Park Place Suite 120
                                                                                                        San Ramon, CA 94583"                    ,925-289-1430
California ,Resurgence Behavioral Health                                                               ,"3151 Airway Avenue
                                                                                                        Costa Mesa, CA 92626"                   ,855-458-0050
California ,New Life Recovery Centers                                                                  ,"782 Park Avenue Suite 1
                                                                                                        San Jose, CA 95126"                     ,408-297-1182
California ,Hollywood Hills Recovery                                                                   ,"6221 Holly Mont Dr.
                                                                                                        Los Angeles, CA 90068"                  ,323-746-1529
California ,Harmony Grove Recovery Inpatient                                                           ,"21734 Amble Dr
                                                                                                        Escondido, CA 92029"                    ,760-697-0497
California ,Windward Way Recovery                                                                      ,"3822 Campus Drive
                                                                                                        Newport Beach, CA 92660"                ,888-598-0043
California ,Cedar House Life Change Center                                                             ,"18612 Santa Ana Avenue
                                                                                                        Bloomington, CA 92316"                  ,909-421-7120
California ,The Discovery House                                                                        ,"6956 Bertand Avenue
                                                                                                        Reseda, CA 91335"                       ,818-452-1676
California ,Passages Malibu Addiction Treatment Center                                                 ,"6428 Meadows Court
                                                                                                        Malibu, CA 90265"                       ,818-214-8194
California ,Diamond House Detox                                                                        ,"8624 Diamond Oak Way
                                                                                                        Elk Grove, CA 95624"                    ,800-205-6107
California ,Dana Point Rehab Campus                                                                    ,"33842 Orilla Road
                                                                                                        Dana Point, CA 92629"                   ,949-239-7557
California ,California Behavioral Health                                                               ,"37066 Bankside Drive
                                                                                                        Cathedral City, CA 92234"               ,855-404-2172
California ,My Time Recovery                                                                           ,"83 E Shaw Ave #200
                                                                                                        Fresno, CA 93710"                       ,559-862-4868
California ,Apex Recovery                                                                              ,"2810 Camino del Rio S Suite106
                                                                                                        San Diego, CA 92108"                    ,877-881-2689
California ,AToN Center                                                                                ,"3250 Country Rose Circle
                                                                                                        Encinitas, CA 92024"                    ,619-639-7325
California ,Monarch Shores Recovery                                                                    ,"27123 Calle Arroyo Suite 2121
                                                                                                        San Juan Capistrano, CA 92675"          ,888-512-5258
California ,Kaiser Permanente Stockton Medical Offices                                                 ,"7373 West Lane
                                                                                                        Stockton, CA 95210"                     ,209-476-2000
California ,AMFM Mental Health and Addiction Treatment Center – Calle Juanita                          ,"30310 Rancho Viejo Road
                                                                                                        San Juan Capistrano, CA 92675"          ,949-489-0959
California ,California Prime Recovery                                                                  ,"17330 Newhope Street Unit A
                                                                                                        Fountain Valley, CA 92708"              ,866-464-0953
California ,Elevate Addiction Services                                                                 ,"262 Gaffey Road
                                                                                                        Watsonville, CA 95076"                  ,831-740-8298
California ,Adjustments Family Services                                                                ,"3010 E Los Angeles Ave
                                                                                                        Simi Valley, CA 93065"                  ,888-248-9661
California ,New Life House – Los Angeles Sober Living                                                  ,"743 S Cloverdale Ave
                                                                                                        Los Angeles, CA 90036"                  ,888-357-7577
California ,San Francisco AIDS Foundation Substance Health                                             ,"1035 Market Street 4th floor
                                                                                                        San Francisco, CA 94103"                ,415-487-3000
Florida    ,Journey Pure Panama City Outpatient and Suboxone Clinic                                    ,"22600 Panama City Beach Parkway
                                                                                                        Panama City Beach, FL 32413"            ,850-249-4300
Florida    ,Agape Treatment Center                                                                     ,"4837 North Dixie Highway
                                                                                                        Fort Lauderdale, FL 33334"              ,888-614-0077
Florida    ,United Recovery Project                                                                    ,"5900 Johnson Street
                                                                                                        Hollywood, FL 33021"                    ,888-618-1049
Florida    ,Saluscare Evans Campus                                                                     ,"3763 Evans Avenue
                                                                                                        Fort Myers, FL 33901"                   ,239-275-3222
Florida    ,Bay Pines VA Healthcare System CW Bill Young Department of Veterans Affairs Medical Center ,"10000 Bay Pines Boulevard
                                                                                                        Bay Pines, FL 33744"                    ,727-398-6661
Florida    ,Serenity House Detox Center West Palm Beach                                                ,"250 Thelma Avenue
                                                                                                        Jupiter, FL 33458"                      ,866-294-5306
Florida    ,The Source Treatment Center                                                                ,"1730 E Commercial Blvd
                                                                                                        Fort Lauderdale, FL 33334"              ,800-204-0418
Florida    ,Beachway Therapy Center                                                                    ,"1700 North Dixie Highway
                                                                                                        West Palm Beach, FL 33407"              ,877-463-1537
Florida    ,Twelve Oaks Recovery Center                                                                ,"2068 Health Care Avenue
                                                                                                        Navarre, FL 32566"                      ,850-203-3002
Florida    ,Recovery in Tune                                                                           ,"6530 Griffin Road
                                                                                                        Davie, FL 33314"                        ,954-744-3696
Florida    ,Boca Recovery Center                                                                       ,"21301 Powerline Road Suite #311
                                                                                                        Boca Raton, FL 33433"                   ,561-763-4773
Florida    ,Boca Recovery Center Detox Pompano Beach Treatment Center                                  ,"971 South Dixie Highway West
                                                                                                        Pompano Beach, FL 33060"                ,954-251-6195
Florida    ,House of Freedom                                                                           ,"2311 North Orange Blossom Trail
                                                                                                        Kissimmee, FL 34744"                    ,407-957-9077
Florida    ,Nextep                                                                                     ,"6313 Corporate Ct #130
                                                                                                        Fort Myers, FL 33919"                   ,239-362-0144
Florida    ,Ambrosia Treatment Center                                                                  ,"546 NW University Blvd
                                                                                                        Port Saint Lucie, FL 34986"             ,5616211505
Florida    ,Faith Farm Ministries Boynton Beach Recovery Campus                                        ,"9538 U.S. Highway 441
                                                                                                        Boynton Beach, FL 33472"                ,561-737-2222
Florida    ,Faith Farm Ministries Fort Lauderdale Thrift Store                                         ,"1980 Northwest 9th Avenue
                                                                                                        Fort Lauderdale, FL 33311"              ,954-763-7787
Florida    ,Aspire Health Partners Princeton Plaza                                                     ,"1800 Mercy Drive
                                                                                                        Orlando, FL 32808"                      ,407-875-3700
Florida    ,Compassion Behavioral Health                                                               ,"1 Oakwood Boulevard Suite 265
                                                                                                        Hollywood, FL 33020"                    ,954-505-2200
Florida    ,Community Health Doris Ison Health Center                                                  ,"10300 Southwest 216th Street
                                                                                                        Miami, FL 33190"                        ,305-253-5100
Florida    ,Beaches Recovery                                                                           ,"390 16th Avenue South
                                                                                                        Jacksonville Beach, FL 32250"           ,866-605-0532
Florida    ,Recreate Life Counseling                                                                   ,"3652 South Seacrest Bpulevard
                                                                                                        Boynton Beach, FL 33435"                ,844-282-0889
Florida    ,New Season Treatment Center Jacksonville                                                   ,"4427 Emerson Street Bldg. 4
                                                                                                        Jacksonville, FL 32207"                 ,904-398-7015
Florida    ,Recovery First Drug and Alcohol Addiction Services                                         ,"4110 Davie Road Extension
                                                                                                        Hollywood, FL 33024"                    ,754-704-8529
Florida    ,Operation PAR Fort Myers                                                                   ,"535 Pine Island Rd M
                                                                                                        North Fort Myers, FL 33903"             ,239-656-7700
Florida    ,Beachside Rehab WEst Palm Beach                                                            ,"1101 54th St
                                                                                                        West Palm Beach, FL 33407"              ,561-375-2990
Florida    ,Serenity Oaks Wellness Center                                                              ,"4200 Southwest 54th Court
                                                                                                        Fort Lauderdale, FL 33314"              ,833-725-0071
Florida    ,Broward Health Imperial Point                                                              ,"6401 North Federal Highway
                                                                                                        Fort Lauderdale, FL 33308"              ,954-776-8500
Florida    ,Evolutions Treatment Center Ft Lauderdale                                                  ,"2901 West Cypress Creek Road Suite 123
                                                                                                        Fort Lauderdale, FL 33309"              ,9549157444
Florida    ,Morton Plant Hospital                                                                      ,"300 Pinellas Street
                                                                                                        Clearwater, FL 33756"                   ,727-462-7000
Florida    ,Banyan Treatment Center Detox Boca Raton                                                   ,"1000 Northwest 15th Street
                                                                                                        Boca Raton, FL 33486"                   ,561-220-3627
Florida    ,Harmony Hills Mental health and Addiction Treatment Center                                 ,"18121 Boys Ranch Road
                                                                                                        Altoona, FL 32702"                      ,855-497-0917
Florida    ,The Haven Detox                                                                            ,"1325 Haverhill Road
                                                                                                        West Palm Beach, FL 33417"              ,877-960-8839
Florida    ,1 Solution Detox                                                                           ,"2901 Broadway Avenue
                                                                                                        West Palm Beach, FL 33407"              ,888-410-1004
Florida    ,Recovery Unplugged Fort Lauderdale                                                         ,"915 Middle River Drive Suite 114
                                                                                                        Fort Lauderdale, FL 33304"              ,954-736-4388
Florida    ,Promises Five Palms                                                                        ,"515 Tomoka Avenue
                                                                                                        Ormond Beach, FL 32174"                 ,844-675-1022
Florida    ,Hazelden Betty Ford in Naples                                                              ,"950 6th Avenue North
                                                                                                        Naples, FL 34102"                       ,855-721-3142
Florida    ,River Oaks Treatment Center                                                                ,"12012 Boyette Road
                                                                                                        Riverview, FL 33569"                    ,813-547-6575
Florida    ,1st Step Behavioral Health                                                                 ,"3773 North Federal Highway
                                                                                                        Pompano Beach, FL 33064"                ,866-971-5531
Florida    ,Banyan Community Health Center Behavioral Health                                           ,"3850 West Flagler Street
                                                                                                        Miami, FL 33134"                        ,305-774-3300
Florida    ,River Region Human Services Jacksonville                                                   ,"2981 Parental Home Road
                                                                                                        Jacksonville, FL 32216"                 ,904-899-6300
Florida    ,Real Recovery Sober Living Clearwater                                                      ,"2470 Sharkey Rd
                                                                                                        Clearwater, FL 33765"                   ,727-614-9057
New York   ,Hope House Administration Office                                                           ,"573 Livingston Avenue
                                                                                                        Albany, NY 12206"                       ,518-482-4673
New York   ,Wellbridge                                                                                 ,"525 Jan Way
                                                                                                        Calverton, NY 11933"                    ,631-801-7965
New York   ,Catholic Charities Womens Halfway House                                                    ,"1408 Genesee Street
                                                                                                        Utica, NY 13502"                        ,315-724-2158
New York   ,Elmhurst Hospital Center                                                                   ,"79-01 Broadway
                                                                                                        Elmhurst, NY 11373"                     ,718-334-4000
New York   ,Credo Community Center                                                                     ,"595 West Main Street
                                                                                                        Watertown, NY 13601"                    ,315-788-1530
New York   ,Ascendant Detox – NYC                                                                      ,"113 E 60th St
                                                                                                        New York City, NY 10022"                ,917-456-9288
New York   ,Helio Health Meadows Integrated Outpatient Clinic                                          ,"329 North Salina Street
                                                                                                        Syracuse, NY 13203"                     ,315-471-1564
New York   ,Suboxone Vivitrol B.E.S.T. Mental Health and Substance Abuse Treatment                     ,"770 Grand Blvd #17
                                                                                                        Deer Park, NY 11729"                    ,631-392-4357
New York   ,Long Island Treatment Center                                                               ,"100 W Nicholai St Unit 2
                                                                                                        Hicksville, NY 11801"                   ,516-788-5470
New York   ,Long Island Interventions                                                                  ,"130 Post Ave
                                                                                                        Westbury, NY 11590"                     ,631-887-3234
New York   ,The Phoenix House – Edward D. Miller Center at Lake Ronkonkoma                             ,"153 Lake Shore Road
                                                                                                        Ronkonkoma, NY 11779"                   ,888-671-9392
New York   ,Tully Hill Treatment and Recovery                                                          ,"5821 Route 80
                                                                                                        Tully, NY 13159"                        ,315-696-6114
New York   ,Urban Recovery                                                                             ,"411 Van Brunt St
                                                                                                        Brooklyn, NY 11231"                     ,646-960-6656
New York   ,Cornerstone Fresh Meadows                                                                  ,"159-05 Union Turnpike
                                                                                                        Fresh Meadows, NY 11366"                ,718-906-6700
New York   ,New Hope Manor Stabilization and Rehabilitation                                            ,"35 Hillside Road
                                                                                                        Barryville, NY 12719"                   ,845-557-8353
New York   ,New York Center for Living                                                                 ,"226 East 52nd Street
                                                                                                        New York City, NY 10022"                ,212-712-8800
New York   ,New Hope Manor Reintegration                                                               ,"141 South Avenue
                                                                                                        Poughkeepsie, NY 12601"                 ,845-452-2870
New York   ,Cazenovia Recovery Systems Cazenovia Manor                                                 ,"486 North Legion Drive
                                                                                                        Buffalo, NY 14210"                      ,716-822-8932
New York   ,Anchor House Mens Facility                                                                 ,"1041 Bergen Street
                                                                                                        Brooklyn, NY 11216"                     ,718-771-0760
New York   ,Odyssey House                                                                              ,"219 East 121st Street
                                                                                                        New York City, NY 10035"                ,212-987-5100
New York   ,Long Island Center for Recovery                                                            ,"320 West Montauk Highway
                                                                                                        Hampton Bays, NY 11946"                 ,631-728-3100
New York   ,Bridge Back to Life Center Downtown Brooklyn Center                                        ,"175 Remsen Street 10th Floor
                                                                                                        Brooklyn, NY 11201"                     ,718-852-5552
New York   ,Huther Doyle                                                                               ,"360 East Avenue
                                                                                                        Rochester, NY 14604"                    ,585-325-5100
New York   ,Mercy Hospital Behavioral Health                                                           ,"1000 North Village Avenue
                                                                                                        Rockville Centre, NY 11570"             ,516-705-2304
New York   ,Teen Challenge Brooklyn                                                                    ,"416 Clinton Ave
                                                                                                        Brooklyn, NY 11238"                     ,718-789-1414
New York   ,Beacon Center Rome Outpatient                                                              ,"303 West Liberty Street Suite B
                                                                                                        Rome, NY 13440"                         ,315-367-1280
New York   ,Parallax Center                                                                            ,"145 East 32nd Street 6th Floor
                                                                                                        New York City, NY 10016"                ,212-779-9207
Texas      ,Medical City Green Oaks Hospital                                                           ,"7808 Clodus Fields Dr
                                                                                                        Dallas, TX 75251"                       ,972-991-9504
Texas      ,Bay Area Recovery Center Pasadena                                                          ,"6427 Fairmont Parkway Suite 104
                                                                                                        Pasadena, TX 77505"                     ,281-617-7854
Texas      ,Symetria Recovery Fort Worth                                                               ,"7229 Hawkins View Drive
                                                                                                        Fort Worth, TX 76132"                   ,866-709-3542
Texas      ,New Season Treatment Center Dallas                                                         ,"123 East Colorado Boulevard
                                                                                                        Dallas, TX 75203"                       ,214-946-5540
Texas      ,Lighthouse Recovery Texas                                                                  ,"5344 Alpha Road dallas
                                                                                                        Dallas, TX 75240"                       ,214-974-5876
Texas      ,Symetria Recovery College Station                                                          ,"1651 Rock Prairie Road Suite 101
                                                                                                        College Station, TX 77845"              ,866-677-3938
Texas      ,Windmill Wellness Ranch                                                                    ,"26229 North Cranes Mill Road
                                                                                                        Canyon Lake, TX 78133"                  ,830-521-4881
Texas      ,Kemah Palms Recovery Alcohol and Drug Treatment                                            ,"1013 Delesandri Lane
                                                                                                        Kemah, TX 77565"                        ,5716303366
Texas      ,Taylor Recovery Center Drug Addiction Rehabilitation Center at Sugar Land                  ,"11352 Sugar Park
                                                                                                        Sugar Land, TX 77478"                   ,713-557-8573
Texas      ,Carrollton Springs                                                                         ,"2225 Parker Road
                                                                                                        Carrollton, TX 75010"                   ,972-242-4114
Texas      ,"Wichita County Center for Adult Behavioral Health, Substance Abuse, Veterans and Crisis"  ,"500 Broad Street
                                                                                                        Wichita Falls, TX 76301"                ,940-397-3300
Texas      ,Phoenix House of Texas Houston Counseling Center                                           ,"2525 North Loop West Suite 100
                                                                                                        Houston, TX 77008"                      ,713-426-2637
Texas      ,The Arbor Behavioral Healthcare Georgetown                                                 ,"1443 Co Rd 103.0
                                                                                                        Georgetown, TX 78626"                   ,866-426-9505
Texas      ,New Season San Antonio Treatment Center                                                    ,"3701 West Commerce Street
                                                                                                        San Antonio, TX 78207"                  ,210-434-0531
Texas      ,The Right Step | Houston                                                                   ,"12350 Wood Bayou Dr
                                                                                                        Houston, TX 77013"                      ,844-767-9404
Texas      ,Recovery Unplugged Austin Rehab Center                                                     ,"14109 Farm 969
                                                                                                        Austin, TX 78724"                       ,512-361-2106
Texas      ,Sage Recovery and Wellness Center                                                          ,"7201 Gilbert Rd
                                                                                                        Manor, TX 78653"                        ,512-306-1394
Texas      ,Symetria Recovery Jersey Village                                                           ,"17347 Village Green Suite 104
                                                                                                        Jersey Village, TX 77040"               ,866-300-6995
Texas      ,Prevention and Recovery Center (PaRC) Houston                                              ,"3043 Gessner Road
                                                                                                        Houston, TX 77063"                      ,8466017502
Texas      ,Brownsville Community Health Center                                                        ,"191 E Price Rd
                                                                                                        Brownsville, TX 78521"                  ,956-548-7400
Texas      ,Serenity House Abilene Treatment Facility                                                  ,"1546 N. 2nd Street
                                                                                                        Abilene, TX 79601"                      ,325-673-6489
Texas      ,Phoenix House Austin                                                                       ,"400 West Live Oak Street
                                                                                                        Austin, TX 78704"                       ,512-440-0613
Texas      ,Real Deal Northeast Dallas Sober Living                                                    ,"10219 Sunridge Trail
                                                                                                        Dallas, TX 75243"                       ,469-599-2162
Texas      ,Couches Drug Rehab Center                                                                  ,"4315 Woodstock Dr
                                                                                                        Dallas, TX 75232"                       ,469-893-1282
Texas      ,Positive Recovery Center Garden Oaks                                                       ,"513 Thornton Road
                                                                                                        Houston, TX 77018"                      ,877-468-0689
Texas      ,Starlite Recovery Center                                                                   ,"230 Mesa Verde Drive
                                                                                                        Center Point, TX 78010"                 ,866-814-3495
Texas      ,Mantra Recovery                                                                            ,"1509 Main St
                                                                                                        Dallas, TX 75201"                       ,214-997-3328
